name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
adam_3_periodic_explicit_5_100,0.000750004,0.016267909,0.021429957,0.024274172,0.025140826,0.025349192,0.024690611,0.02375358,0.02255672,0.022033781,0.022046172,0.022038934,0.022201629,0.02238357,0.02260911,0.022486895,0.022375922,0.022158037,0.022136421,0.02187529,0.021819161,0.021573593,0.021454274,0.021216317,0.020977265
improv_1_periodic_explicit_5_100,0.000586715,0.012707678,0.018620552,0.022273168,0.023987889,0.024894287,0.024851869,0.024214449,0.023077018,0.021611243,0.019815192,0.017891752,0.01599216,0.01415498,0.012456346,0.010952381,0.010703489,0.01076176,0.010661834,0.010785726,0.010558322,0.010498277,0.01064639,0.010492608,0.010634875
improv_2_periodic_explicit_5_100,0.000707903,0.012872784,0.017450465,0.019877732,0.020694615,0.020916444,0.020626389,0.01989561,0.019101552,0.018228494,0.017311251,0.016346882,0.015600086,0.015069622,0.014792241,0.014075275,0.013834372,0.013094058,0.012466074,0.01215306,0.011743785,0.011384265,0.010842453,0.010680746,0.010203686
improv_3_periodic_explicit_5_100,0.00080645,0.01588841,0.020721548,0.023431676,0.024226395,0.024350415,0.02383304,0.022835548,0.021719649,0.020579156,0.019895587,0.019589211,0.019649544,0.019740397,0.019377542,0.018960964,0.018653847,0.018387321,0.017922192,0.017583312,0.017151066,0.016771119,0.016254696,0.015910485,0.015468887
adam_1_Dirichlet_circle_100,0.02369525,0.002495382,0.060681463,0.125057626,0.204731597,0.298853945,0.40935189,0.5395749,0.688261346,0.780034815,0.973933992,1.201467228,1.469988363,1.684395674,2.057096951,2.396332001,2.840352955,3.51630273,4.289748737,5.332073987,6.852399204,9.278958038,13.28348865,22.28762808,59.50483363
adam_2_Dirichlet_circle_100,0.024148814,0.055273349,0.083956118,0.109545086,0.135247297,0.161938976,0.18540713,0.211983854,0.271155763,0.304940666,0.338622851,0.415955202,0.469582427,0.518477761,0.629080191,0.749171693,0.846499405,1.032501402,1.255304853,1.543688384,1.963429046,2.680704317,3.89846921,6.950625201,23.41558114
adam_3_Dirichlet_circle_100,0.023592408,0.002977191,0.017375872,0.037356481,0.062087851,0.083437632,0.11691865,0.140089615,0.164506894,0.202512474,0.233731541,0.27740636,0.322196076,0.389190599,0.456791194,0.546077308,0.633831699,0.747632179,0.934369841,1.180625812,1.48587181,2.008458502,2.960100612,5.107709194,15.08428376
improv_1_Dirichlet_circle_100,0.02384912,0.02580991,0.027063915,0.030084311,0.031533854,0.034962257,0.037456157,0.041392674,0.045794934,0.049882405,0.054537254,0.06089093,0.067546548,0.076936101,0.087417821,0.09972075,0.112564877,0.135592156,0.161321008,0.19755206,0.251266009,0.342050109,0.498522291,0.868018192,2.907533059
improv_2_Dirichlet_circle_100,0.023839169,0.025112187,0.025599765,0.027556195,0.028076923,0.030267048,0.031478218,0.033667519,0.036238568,0.038420518,0.04025975,0.043944571,0.047120982,0.051961214,0.05763444,0.063563605,0.068624217,0.081606523,0.091945304,0.109907092,0.132551998,0.176609444,0.245543421,0.405096526,1.234089125
improv_3_Dirichlet_circle_100,0.023833189,0.023582834,0.023222299,0.0249891,0.025623405,0.024118367,0.021081476,0.021723455,0.02404595,0.026093048,0.020095321,0.022178424,0.022657053,0.024912712,0.01735586,0.012943467,0.013355169,0.018424115,0.006877747,0.000220275,0.014734534,0.029293473,0.050024158,0.165902717,0.774945159
